"ID" "condition" "block" "time" "time_n" "time_nmd" "dist" "hits"
"108" 17 "Random" 3 1.731789 -0.722016482184325 -0.944718378921822 0.069023835 1
"109" 18 "Congruent" 1 3.486426 1.9000548230512 1.66716230503315 0.01195629 11
"110" 18 "Congruent" 2 2.591901 0.525802051794325 0.306535545904569 0.012184825 13.5
"111" 18 "Congruent" 3 2.14614 -0.151494070003077 -0.371493961125323 0.013257025 11
"112" 18 "Incongruent" 1 2.996031 1.3484540034266 0.921241777889848 0.04471238 9
"113" 18 "Incongruent" 2 2.501837 0.140733385085767 0.169542741417097 0.035984095 8.5
"114" 18 "Incongruent" 3 2.144722 -0.341765065141449 -0.373650825097201 0.048715695 8
"115" 18 "Novel" 1 2.569202 0.338580666212371 0.2720089906876 0.066243195 3
"116" 18 "Novel" 2 2.146214 -0.176995002461735 -0.371381402638779 0.059607185 0
"117" 18 "Novel" 3 1.921315 -0.567647833753229 -0.713466417033299 0.038357015 5
"118" 18 "Random" 1 2.413733 0.045503289245925 0.0355312157624038 0.07306339 3
"119" 18 "Random" 2 1.6556395 -0.986399832318155 -1.11757496016498 0.07204658 2.5
"120" 18 "Random" 3 1.553275 -1.25850794545674 -1.27327757091908 0.048668325 1.5
"121" 19 "Congruent" 1 1.85299 -0.53861675954583 -0.605176755295171 0.01382916 14
"122" 19 "Congruent" 2 1.610538 -0.859423455529814 -0.934712197415194 0.012480945 14
"123" 19 "Congruent" 3 1.458165 -1.11311864312336 -1.14181423791044 0.012059955 14.5
"124" 19 "Incongruent" 1 2.484238 0.82865166396036 0.252801684838879 0.02548047 9.5
"125" 19 "Incongruent" 2 2.379044 0.136447886733989 0.10982430664289 0.02143652 10
"126" 19 "Incongruent" 3 2.056945 -0.17934302395252 -0.327965591445876 0.031630585 10
"127" 19 "Novel" 1 4.270202 2.76921951665824 2.68024479254863 0.06125383 4.5
"128" 19 "Novel" 2 2.882135 1.26081874691388 0.793614562493965 0.03460064 4.5
"129" 19 "Novel" 3 2.459196 0.18654384483035 0.218765147538425 0.039479065 6.5
"130" 19 "Random" 1 2.879669 2.55042404899357 0.790262829366303 0.072631445 1.5
"131" 19 "Random" 2 2.836598 0.850614936096114 0.731721670590333 0.05943289 2
"132" 19 "Random" 3 2.278227 0.11107631875231 -0.0272039491282084 0.046551935 5.5
"133" 2 "Congruent" 1 2.301179 0.713726732812268 0.034780075144819 0.009112476 12.5
"134" 2 "Congruent" 2 2.012584 -0.365971882669884 -0.447599576259408 0.008390148 14.5
"135" 2 "Congruent" 3 2.012171 -0.381602498761348 -0.44828989589776 0.009009725 15
"136" 2 "Incongruent" 1 2.61567 1.18269248832959 0.560444272202173 0.014738445 12
"137" 2 "Incongruent" 2 2.279943 0.504497009174673 -0.000715391780180399 0.017185625 11.5
"138" 2 "Incongruent" 3 2.435475 0.635109882018659 0.259252632413594 0.014094435 12.5
"139" 2 "Novel" 1 3.239204 1.89717734270905 1.60266646440468 0.04268489 2.5
"140" 2 "Novel" 2 2.5019 0.692102074772529 0.370280433811837 0.043848705 2
"141" 2 "Novel" 3 2.101493 -0.145548669169079 -0.298990305736016 0.040172255 5
"142" 2 "Random" 1 2.994791 1.3979990991294 1.19413597101893 0.06463062 1.5
"143" 2 "Random" 2 2.725791 0.567746694228649 0.744508894223639 0.04454344 4.5
"144" 2 "Random" 3 2.056443 -0.149491167040333 -0.374290305028313 0.057591075 5.5
